filtrar domingo (7)									
DIA	fecha	clase1	clase2						
1	2021-03-01	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
2	2021-03-02	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
3	2021-03-03	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
4	2021-03-04	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
5	2021-03-05	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
6	2021-03-06	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
7	2021-03-07								
1	2021-03-08	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
2	2021-03-09	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
3	2021-03-10	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
4	2021-03-11	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
5	2021-03-12	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
6	2021-03-13	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
7	2021-03-14								
1	2021-03-15	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
2	2021-03-16	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
3	2021-03-17	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
4	2021-03-18	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
5	2021-03-19	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	TAPAS	
