filtrar domingo (7)									
DIA	fecha	clase1	clase2						
5	2021-06-04	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
6	2021-06-05	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
7	2021-06-06								
1	2021-06-07	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
2	2021-06-08	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
3	2021-06-09	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
4	2021-06-10	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
5	2021-06-11	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
6	2021-06-12	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
7	2021-06-13								
1	2021-06-14	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
2	2021-06-15	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
3	2021-06-16	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
4	2021-06-17	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
5	2021-06-18	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
6	2021-06-19	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
7	2021-06-20								
1	2021-06-21	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
2	2021-06-22	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
3	2021-06-23	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
4	2021-06-24	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
5	2021-06-25	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
6	2021-06-26	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
7	2021-06-27								
1	2021-06-28	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
2	2021-06-29	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
3	2021-06-30	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
4	2021-07-01	PAELLA	TAPAS						
5	2021-07-02	PAELLA	TAPAS						
6	2021-07-03	PAELLA	TAPAS						
7	2021-07-04								
1	2021-07-05	PAELLA	TAPAS						
2	2021-07-06	PAELLA	TAPAS						
3	2021-07-07	PAELLA	TAPAS						
4	2021-07-08	PAELLA	TAPAS						
5	2021-07-09	PAELLA	TAPAS						
6	2021-07-10	PAELLA	TAPAS						
7	2021-07-11								
1	2021-07-12	PAELLA	TAPAS						
2	2021-07-13	PAELLA	TAPAS						
3	2021-07-14	PAELLA	TAPAS						
4	2021-07-15	PAELLA	TAPAS						
5	2021-07-16	PAELLA	TAPAS						
6	2021-07-17	PAELLA	TAPAS						
7	2021-07-18								
1	2021-07-19	PAELLA	TAPAS						
2	2021-07-20	PAELLA	TAPAS						
3	2021-07-21	PAELLA	TAPAS						
4	2021-07-22	PAELLA	TAPAS						
5	2021-07-23	PAELLA	TAPAS						
6	2021-07-24	PAELLA	TAPAS						
7	2021-07-25								
1	2021-07-26	PAELLA	TAPAS						
2	2021-07-27	PAELLA	TAPAS						
3	2021-07-28	PAELLA	TAPAS						
4	2021-07-29	PAELLA	TAPAS						
5	2021-07-30	PAELLA	TAPAS						
6	2021-07-31	PAELLA	TAPAS						
7	2021-08-01								
1	2021-08-02	PAELLA	TAPAS						
2	2021-08-03	PAELLA	TAPAS						
3	2021-08-04	PAELLA	TAPAS						
4	2021-08-05	PAELLA	TAPAS						
5	2021-08-06	PAELLA	TAPAS						
6	2021-08-07	PAELLA	TAPAS						
7	2021-08-08								
1	2021-08-09	PAELLA	TAPAS						
2	2021-08-10	PAELLA	TAPAS						
3	2021-08-11	PAELLA	TAPAS						
4	2021-08-12	PAELLA	TAPAS						
5	2021-08-13	PAELLA	TAPAS						
6	2021-08-14	PAELLA	TAPAS						
7	2021-08-15								
1	2021-08-16	PAELLA	TAPAS						
2	2021-08-17	PAELLA	TAPAS						
3	2021-08-18	PAELLA	TAPAS						
4	2021-08-19	PAELLA	TAPAS						
5	2021-08-20	PAELLA	TAPAS						
6	2021-08-21	PAELLA	TAPAS						
7	2021-08-22								
1	2021-08-23	PAELLA	TAPAS						
2	2021-08-24	PAELLA	TAPAS						
3	2021-08-25	PAELLA	TAPAS						
4	2021-08-26	PAELLA	TAPAS						
5	2021-08-27	PAELLA	TAPAS						
6	2021-08-28	PAELLA	TAPAS						
7	2021-08-29								
1	2021-08-30	PAELLA	TAPAS						
2	2021-08-31	PAELLA	TAPAS						
3	2021-09-01	PAELLA	TAPAS						
4	2021-09-02	PAELLA	TAPAS						
5	2021-09-03	PAELLA	TAPAS						
6	2021-09-04	PAELLA	TAPAS						
7	2021-09-05								
1	2021-09-06	PAELLA	TAPAS						
2	2021-09-07	PAELLA	TAPAS						
3	2021-09-08	PAELLA	TAPAS						
4	2021-09-09	PAELLA	TAPAS						
5	2021-09-10	PAELLA	TAPAS						
6	2021-09-11	PAELLA	TAPAS						
7	2021-09-12								
1	2021-09-13	PAELLA	TAPAS						
2	2021-09-14	PAELLA	TAPAS						
3	2021-09-15	PAELLA	TAPAS						
4	2021-09-16	PAELLA	TAPAS						
5	2021-09-17	PAELLA	TAPAS						
6	2021-09-18	PAELLA	TAPAS						
7	2021-09-19								
1	2021-09-20	PAELLA	TAPAS						
2	2021-09-21	PAELLA	TAPAS						
3	2021-09-22	PAELLA	TAPAS						
4	2021-09-23	PAELLA	TAPAS						
5	2021-09-24	PAELLA	TAPAS						
6	2021-09-25	PAELLA	TAPAS						
7	2021-09-26								
1	2021-09-27	PAELLA	TAPAS						
2	2021-09-28	PAELLA	TAPAS						
3	2021-09-29	PAELLA	TAPAS						
4	2021-09-30	PAELLA	TAPAS						
5	2021-10-01	PAELLA	TAPAS						
6	2021-10-02	PAELLA	TAPAS						
7	2021-10-03								
1	2021-10-04	PAELLA	TAPAS						
2	2021-10-05	PAELLA	TAPAS						
3	2021-10-06	PAELLA	TAPAS						
4	2021-10-07	PAELLA	TAPAS						
5	2021-10-08	PAELLA	TAPAS						
6	2021-10-09	PAELLA	TAPAS						
7	2021-10-10								
1	2021-10-11	PAELLA	TAPAS						
2	2021-10-12	TAPAS							
3	2021-10-13	PAELLA	TAPAS						
4	2021-10-14	PAELLA	TAPAS						
5	2021-10-15	PAELLA	TAPAS						
6	2021-10-16	PAELLA	TAPAS						
7	2021-10-17								
1	2021-10-18	PAELLA	TAPAS						
2	2021-10-19	PAELLA	TAPAS						
3	2021-10-20	PAELLA	TAPAS						
4	2021-10-21	PAELLA	TAPAS						
5	2021-10-22	PAELLA	TAPAS						
6	2021-10-23	PAELLA	TAPAS						
7	2021-10-24								
1	2021-10-25	PAELLA	TAPAS						
2	2021-10-26	PAELLA	TAPAS						
3	2021-10-27	PAELLA	TAPAS						
4	2021-10-28	PAELLA	TAPAS						
5	2021-10-29	PAELLA	TAPAS						
6	2021-10-30	PAELLA	TAPAS						
7	2021-10-31								
1	2021-11-01	TAPAS							
2	2021-11-02	PAELLA	TAPAS						
3	2021-11-03	PAELLA	TAPAS						
4	2021-11-04	PAELLA	TAPAS						
5	2021-11-05	PAELLA	TAPAS						
6	2021-11-06	PAELLA	TAPAS						
7	2021-11-07								
1	2021-11-08	PAELLA	TAPAS						
2	2021-11-09	TAPAS							
3	2021-11-10	PAELLA	TAPAS						
4	2021-11-11	PAELLA	TAPAS						
5	2021-11-12	PAELLA	TAPAS						
6	2021-11-13	PAELLA	TAPAS						
7	2021-11-14								
1	2021-11-15	PAELLA	TAPAS						
2	2021-11-16	PAELLA	TAPAS						
3	2021-11-17	PAELLA	TAPAS						
4	2021-11-18	PAELLA	TAPAS						
5	2021-11-19	PAELLA	TAPAS						
6	2021-11-20	PAELLA	TAPAS						
7	2021-11-21								
1	2021-11-22	PAELLA	TAPAS						
2	2021-11-23	PAELLA	TAPAS						
3	2021-11-24	PAELLA	TAPAS						
4	2021-11-25	PAELLA	TAPAS						
5	2021-11-26	PAELLA	TAPAS						
6	2021-11-27	PAELLA	TAPAS						
7	2021-11-28								
1	2021-11-29	PAELLA	TAPAS						
2	2021-11-30	PAELLA	TAPAS						
3	2021-12-01	PAELLA	TAPAS						
4	2021-12-02	PAELLA	TAPAS						
5	2021-12-03	PAELLA	TAPAS						
6	2021-12-04	PAELLA	TAPAS						
7	2021-12-05								
1	2021-12-06	TAPAS							
2	2021-12-07	PAELLA	TAPAS						
3	2021-12-08	TAPAS							
4	2021-12-09	PAELLA	TAPAS						
5	2021-12-10	PAELLA	TAPAS						
6	2021-12-11	PAELLA	TAPAS						
7	2021-12-12								
1	2021-12-13	PAELLA	TAPAS						
2	2021-12-14	PAELLA	TAPAS						
3	2021-12-15	PAELLA	TAPAS						
4	2021-12-16	PAELLA	TAPAS						
5	2021-12-17	PAELLA	TAPAS						
6	2021-12-18	PAELLA	TAPAS						
7	2021-12-19								
1	2021-12-20	PAELLA	TAPAS						
2	2021-12-21	PAELLA	TAPAS						
3	2021-12-22	PAELLA	TAPAS						
4	2021-12-23	PAELLA	TAPAS						
5	2021-12-24								
6	2021-12-25								
7	2021-12-26								
1	2021-12-27	PAELLA	TAPAS						
2	2021-12-28	PAELLA	TAPAS						
3	2021-12-29	PAELLA	TAPAS						
4	2021-12-30	PAELLA	TAPAS						
5	2021-12-31								
6	2022-01-01								
7	2022-01-02								
1	2022-01-03	PAELLA	TAPAS						
2	2022-01-04	PAELLA	TAPAS						
3	2022-01-05	PAELLA	TAPAS						
4	2022-01-06	TAPAS							
5	2022-01-07	PAELLA	TAPAS						
6	2022-01-08	PAELLA	TAPAS						
7	2022-01-09								
1	2022-01-10	PAELLA	TAPAS						
2	2022-01-11	PAELLA	TAPAS						
3	2022-01-12	PAELLA	TAPAS						
4	2022-01-13	PAELLA	TAPAS						
5	2022-01-14	PAELLA	TAPAS						
6	2022-01-15	PAELLA	TAPAS						
7	2022-01-16								
1	2022-01-17	PAELLA	TAPAS						
2	2022-01-18	PAELLA	TAPAS						
3	2022-01-19	PAELLA	TAPAS						
4	2022-01-20	PAELLA	TAPAS						
5	2022-01-21	PAELLA	TAPAS						
6	2022-01-22	PAELLA	TAPAS						
7	2022-01-23								
1	2022-01-24	PAELLA	TAPAS						
2	2022-01-25	PAELLA	TAPAS						
3	2022-01-26	PAELLA	TAPAS						
4	2022-01-27	PAELLA	TAPAS						
5	2022-01-28	PAELLA	TAPAS						
6	2022-01-29	PAELLA	TAPAS						
7	2022-01-30								
1	2022-01-31	PAELLA	TAPAS						
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
